,amenity,community_id
0,microwave,0
1,clothing storage,0
2,crib - available upon request,0
3,kitchenette,0
4,washer,0
5,exterior security cameras on property,0
6,gym in building,0
7,host greets you,0
8,building staff,0
9,lock on bedroom door,0
10,smoke alarm,0
11,first aid kit,0
12,dishes and silverware,0
13,luggage dropoff allowed,0
14,cleaning available during stay,0
15,fire extinguisher,0
16,refrigerator,0
17,housekeeping - available at extra cost,0
18,air conditioning,0
19,indoor fireplace,0
20,electric stove,0
21,carbon monoxide alarm,0
22,heating,0
23,iron,0
24,smoking allowed,0
25,keypad,0
26,tv with standard cable,0
27,paid parking off premises,0
28,dryer,0
29,shower gel,0
30,hangers,0
31,hot water,0
32,cooking basics,0
33,private living room,0
34,shampoo,0
35,gym,0
36,long term stays allowed,0
37,essentials,0
38,paid parking on premises,0
39,elevator,0
40,self check-in,0
41,other induction stove,0
42,dedicated workspace,0
43,pool,0
44,tv with netflix,0
45,hair dryer,0
46,free washer,0
47,hot tub,0
48,bed linens,0
49,kitchen,0
50,tv,0
51,bidet,0
52,private entrance,0
53,stove,0
54,smart lock,0
55,standard cable,1
56,outdoor playground,1
57,bbq grill,1
58,hot water kettle,1
59,mosquito net,1
60,laundromat nearby,1
61,safe,1
62,single level home,1
63,extra pillows and blankets,1
64,private patio or balcony,1
65,outdoor dining area,1
66,heating - split type ductless system,1
67,park view,1
68,coffee,1
69,ethernet connection,1
70,outdoor furniture,1
71,paid parking garage off premises,1
72,backyard,1
73,waterfront,1
74,private hot tub,1
75,lockbox,1
76,shared patio or balcony,1
77,coffee maker: nespresso,1
78,single oven,1
79,outdoor shower,1
80,hdtv with standard cable,1
81,free dryer,1
82,shared gym in building,1
83,coffee maker: espresso machine,1
84,board games,1
85,sun loungers,1
86,hdtv,1
87,induction stove,1
88,wine glasses,1
89,. conditioner,1
90,baby bath,1
91,rice maker,1
92,sound system with bluetooth and aux,1
93,window guards,1
94,ev charger,1
95,window ac unit,1
96,free parking on premises,1
97,shared gym,1
98,courtyard view,1
99,garden view,1
100,free street parking,1
101,blender,1
102,wardrobe,1
103,shared backyard,1
104,freezer,1
105,toaster,1
106,yoga mat,1
107,conditioner,1
108,beach view,1
109,sound system,1
110,nespresso,1
111,drying rack for clothing,1
112,bathtub,1
113,barbecue utensils,1
114,private backyard,1
115,game console,1
116,coffee maker,1
117,shared beach access,1
118,portable fans,1
119,sea view,1
120,ocean view,1
121,cleaning products,1
122,oven,1
123,table corner guards,1
124,books and reading material,1
125,crib,1
126,dishwasher,1
127,bay view,1
128,dining table,1
129,clothing storage: wardrobe,1
130,paid street parking off premises,1
131,and wardrobe,1
132,movie theater,1
133,harbor view,1
134,pocket wifi,1
135,bluetooth sound system,1
136,portable heater,1
137,clothing storage: closet,1
138,gas stove,1
139,piano,1
140,hdtv with netflix,1
141,mountain view,1
142,paid parking lot off premises,1
143,outlet covers,1
144,. shampoo,1
145,open specific hours,1
146,ceiling fan,1
147,ac - split type ductless system,1
148,city skyline view,1
149,and dresser,1
150,babysitter recommendations,1
151,every day,1
152,chromecast,1
153,room-darkening shades,1
154,closet,1
155,trash compactor,1
156,mini fridge,1
157,body soap,1
158,pets allowed,1
159,baking sheet,1
160,netflix,1
161,high chair,1
162,electric,1
163,shared pool,1
164,clothing storage: closet and dresser,1
165,. body soap,1
166,patio or balcony,1
167,exercise equipment,1
