,count,freq
,2927,1.0
wifi,2857,0.9760847283908438
air conditioning,2518,0.8602664844550735
dryer,2303,0.7868124359412367
hair dryer,2231,0.7622138708575333
hot water,2207,0.7540143491629655
tv,2144,0.7324906047147249
shampoo,2044,0.6983259309873591
hangers,2031,0.6938845234028015
kitchen,1968,0.672360778954561
essentials,1776,0.6067646053980185
washer,1686,0.5760163990433891
refrigerator,1651,0.5640587632388111
bed linens,1613,0.551076187222412
elevator,1534,0.524086094977793
self check-in,1464,0.5001708233686368
iron,1458,0.49812094294499487
dishes and silverware,1432,0.4892381277758797
long term stays allowed,1384,0.4728390843867441
smoke alarm,1383,0.47249743764947044
shower gel,1373,0.46908097027673384
fire extinguisher,1314,0.44892381277758797
cooking basics,1307,0.44653228561667235
dedicated workspace,1278,0.4366245302357363
hot water kettle,1198,0.40929279125384355
microwave,1170,0.39972668261018107
stove,996,0.3402801503245644
clothing storage,971,0.33173898189272294
room-darkening shades,954,0.3259309873590707
cleaning products,923,0.31533993850358727
luggage dropoff allowed,805,0.2750256235052955
dining table,736,0.25145199863341305
first aid kit,731,0.24974376494704476
private entrance,719,0.24564400409976084
conditioner,699,0.23881106935428767
freezer,690,0.23573624871882473
body soap,689,0.23539460198155107
extra pillows and blankets,687,0.23471130850700375
drying rack for clothing,675,0.23061154765971986
carbon monoxide alarm,655,0.22377861291424667
heating,617,0.21079603689784762
lock on bedroom door,592,0.20225486846600615
laundromat nearby,565,0.19303040655961737
keypad,533,0.18209771096686025
exterior security cameras on property,493,0.16843184147591392
coffee,482,0.16467372736590366
smart lock,455,0.15544926545951487
coffee maker,434,0.14827468397676802
cleaning available during stay,431,0.14724974376494704
rice maker,414,0.14144174923129485
wine glasses,409,0.13973351554492655
oven,381,0.1301674069012641
lockbox,361,0.12333447215579091
closet,351,0.11991800478305432
pets allowed,348,0.11889306457123335
patio or balcony,344,0.1175264776221387
host greets you,339,0.1158182439357704
clothing storage: closet,326,0.11137683635121284
ethernet connection,316,0.10796036897847626
free washer,298,0.1018107277075504
single level home,289,0.09873590707208746
toaster,280,0.09566108643662453
mini fridge,276,0.0942944994875299
window guards,265,0.09053638537751965
outdoor dining area,265,0.09053638537751965
bathtub,244,0.08336180389477281
free dryer,237,0.08097027673385719
exercise equipment,230,0.07857874957294157
paid parking off premises,230,0.07857874957294157
standard cable,224,0.07652886914929963
ac - split type ductless system,224,0.07652886914929963
books and reading material,222,0.07584557567475231
crib,212,0.07242910830201571
hdtv,204,0.06969593440382645
paid parking on premises,198,0.06764605398018449
induction stove,195,0.06662111376836351
sound system,194,0.06627946703108985
smoking allowed,191,0.06525452681926888
wardrobe,190,0.06491288008199522
bidet,187,0.06388793987017424
city skyline view,183,0.0625213529210796
tv with standard cable,182,0.062179706183805944
outdoor furniture,182,0.062179706183805944
bbq grill,179,0.061154765971984965
window ac unit,172,0.05876323881106935
portable fans,163,0.05568841817560642
pool,155,0.05295524427741715
private patio or balcony,155,0.05295524427741715
blender,155,0.05295524427741715
backyard,154,0.05261359754014349
safe,152,0.05193030406559617
gym,145,0.04953877690468056
electric,145,0.04953877690468056
electric stove,141,0.04817218995558593
trash compactor,134,0.04578066279467031
clothing storage: wardrobe,132,0.045097369320122996
portable heater,129,0.044072429108302016
kitchenette,122,0.041680901947386405
high chair,120,0.040997608472839085
netflix,119,0.040655961735565425
hot tub,119,0.040655961735565425
building staff,117,0.039972668261018106
ceiling fan,115,0.039289374786470786
board games,110,0.037581141100102494
free parking on premises,105,0.0358729074137342
nespresso,102,0.03484796720191322
baking sheet,99,0.03382302699009224
waterfront,99,0.03382302699009224
gas stove,94,0.03211479330372395
coffee maker: nespresso,92,0.03143149982917663
and dresser,85,0.029039972668261017
barbecue utensils,80,0.027331738981892725
mountain view,78,0.026648445507345405
tv with netflix,75,0.02562350529552443
free street parking,73,0.02494021182097711
game console,72,0.02459856508370345
baby bath,71,0.02425691834642979
hdtv with netflix,70,0.023915271609156134
garden view,70,0.023915271609156134
dishwasher,68,0.023231978134608814
outlet covers,68,0.023231978134608814
sea view,63,0.02152374444824052
shared gym,62,0.02118209771096686
piano,61,0.020840450973693202
gym in building,60,0.020498804236419543
paid street parking off premises,58,0.019815510761872223
bay view,57,0.019473864024598567
. shampoo,57,0.019473864024598567
crib - available upon request,56,0.019132217287324907
harbor view,56,0.019132217287324907
. body soap,54,0.018448923812777587
outdoor playground,53,0.018107277075503928
babysitter recommendations,53,0.018107277075503928
private living room,51,0.01742398360095661
bluetooth sound system,48,0.016399043389135635
movie theater,48,0.016399043389135635
mosquito net,46,0.015715749914588316
shared beach access,45,0.015374103177314656
shared gym in building,45,0.015374103177314656
shared patio or balcony,44,0.015032456440040998
clothing storage: closet and dresser,43,0.014690809702767338
private hot tub,42,0.01434916296549368
sun loungers,41,0.01400751622822002
. conditioner,41,0.01400751622822002
heating - split type ductless system,40,0.013665869490946362
ocean view,39,0.013324222753672703
private backyard,38,0.012982576016399043
table corner guards,38,0.012982576016399043
single oven,37,0.012640929279125385
every day,37,0.012640929279125385
coffee maker: espresso machine,37,0.012640929279125385
