,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
0,0,2,1,2,1,1,4,0,2,0,1,1319.0,7.1846291527173145,114.15431,22.28418
1,1,6,5,1,2,1,9,0,2,0,0,800.0,6.684611727667927,114.14923,22.28228
2,1,0,0,1,1,1,1,0,0,0,0,1127.0,7.027314514039777,114.15313,22.28376
3,0,2,2,1,2,0,1,0,1,0,1,587.0,6.375024819828097,113.99269,22.26674
4,1,6,5,3,2,1,9,0,2,1,2,1053.0,6.959398512133975,114.1489,22.28543
5,1,0,0,1,1,1,1,0,0,0,0,648.0,6.473890696352274,114.18416,22.28113
6,1,3,4,2,0,1,8,0,4,0,0,186.0,5.225746673713202,114.17699,22.27825
7,1,0,0,1,1,1,1,0,0,0,0,500.0,6.214608098422191,114.18577,22.27917
8,1,3,4,2,1,1,8,0,4,0,0,186.0,5.225746673713202,114.1769881,22.2782412
9,0,3,3,1,2,1,0,0,3,0,0,2058.0,7.629489916393995,113.86251,22.25382
10,0,3,3,1,2,1,0,0,3,0,0,1300.0,7.170119543449628,113.86369,22.25552
11,0,3,3,1,2,1,0,0,3,0,0,900.0,6.802394763324311,113.86351,22.25575
12,1,5,4,1,1,0,2,2,3,0,0,100.0,4.605170185988092,114.16433,22.32532
13,0,3,2,1,1,0,1,0,2,0,0,184.0,5.214935757608986,114.16433,22.32532
14,1,3,2,2,1,1,4,0,1,0,0,215.0,5.3706380281276624,114.17081,22.31807
15,1,0,0,1,1,1,0,0,0,0,0,238.0,5.472270673671475,114.17074,22.31805
16,1,3,5,2,1,1,3,0,1,0,1,179.0,5.187385805840755,114.17047,22.31828
17,1,3,3,2,1,1,3,0,1,0,0,170.0,5.135798437050262,114.17042,22.31792
18,1,2,5,2,2,1,4,1,0,0,0,380.0,5.940171252720432,114.13365,22.50294
19,0,0,0,2,1,1,3,0,1,0,0,1494.0,7.309212365692763,114.03027,22.21287
20,0,6,5,2,1,2,6,1,2,0,0,1031.0,6.93828448401696,114.1506355,22.28044425
21,0,3,5,2,1,1,7,2,0,0,1,825.0,6.715383386334681,114.13258,22.28198
22,0,3,2,1,2,1,5,0,1,1,1,492.0,6.198478716492308,114.17608,22.30209
23,0,3,5,2,1,1,7,0,3,2,1,458.0,6.126869184114185,114.18156,22.27742
24,0,3,2,1,0,1,2,0,0,1,1,459.0,6.129050210060545,114.166949,22.307896
25,0,0,0,1,1,1,0,0,0,0,0,217.0,5.37989735354046,114.17712,22.32514
26,0,0,0,1,1,1,1,0,0,0,0,180.0,5.19295685089021,114.16845,22.31318
27,0,0,0,1,1,1,0,0,0,0,0,180.0,5.19295685089021,114.17065,22.31188
28,1,6,5,3,2,1,8,0,4,0,2,952.0,6.858565034791365,114.17058,22.32257
29,0,5,4,2,2,2,8,0,3,0,1,848.0,6.742880635791903,114.15375,22.28457
30,0,4,5,1,1,1,6,0,2,0,1,469.0,6.150602768446279,114.15418,22.28324
31,0,0,0,1,1,1,3,0,2,0,0,560.0,6.327936783729195,114.14737,22.28526
32,1,0,0,1,1,1,0,0,0,0,0,852.0,6.747586526829315,114.1685,22.31721
33,0,3,2,1,2,0,4,0,2,0,1,646.0,6.470799503782602,114.15307,22.28272
34,0,0,0,0,1,1,1,0,0,0,0,180.0,5.19295685089021,114.15054,22.28665
35,1,0,0,1,1,1,1,0,0,0,0,600.0,6.396929655216146,114.15149,22.28589
36,0,2,2,0,2,1,1,1,0,0,1,3791.0,8.240385115516334,114.01123,22.29288
37,0,0,0,1,1,1,1,0,0,0,0,206.0,5.327876168789581,114.15186,22.28528
38,1,3,2,1,1,1,0,0,2,1,0,334.0,5.811140992976701,114.16888,22.31585
39,1,0,0,1,1,0,1,0,0,0,0,206.0,5.327876168789581,114.14785,22.28564
40,0,1,1,1,1,1,1,0,3,0,0,180.0,5.19295685089021,114.14945,22.28796
41,0,3,6,0,2,1,7,5,0,1,0,600.0,6.396929655216146,114.21369,22.21892
42,1,0,0,1,1,1,1,0,0,0,0,419.0,6.037870919922137,114.18619,22.27886
43,1,6,4,2,2,2,7,3,2,1,1,1614.0,7.3864708488298945,114.1703319,22.31343
44,0,4,2,2,1,1,4,3,1,1,1,651.0,6.478509642208569,114.05844,22.48134
45,0,1,2,1,1,1,1,0,2,0,0,230.0,5.438079308923196,114.15777,22.28115
46,0,0,0,0,1,1,1,0,0,0,0,180.0,5.19295685089021,114.19887,22.28853
47,0,1,1,1,1,0,1,0,1,0,0,647.0,6.472346294500901,114.15275,22.28335
48,1,3,2,1,2,1,9,1,5,0,2,1850.0,7.52294091807237,114.02168,22.29376
49,1,5,5,3,2,2,10,0,3,1,5,1200.0,7.090076835776092,114.1912,22.28608
50,1,6,5,2,2,1,8,0,5,2,1,903.0,6.805722553416985,114.17041,22.32238
51,0,1,3,1,1,0,1,0,3,0,0,160.0,5.075173815233827,114.19454,22.28942
52,1,6,5,4,2,1,8,0,4,2,2,1393.0,7.239214973779806,114.17032,22.3223
53,0,2,2,1,2,1,6,0,3,0,3,650.0,6.476972362889683,114.1677,22.31338
54,1,0,0,1,1,0,1,0,0,0,0,180.0,5.19295685089021,114.21525,22.33856
55,0,0,0,1,1,0,1,0,0,0,0,180.0,5.19295685089021,114.18248,22.28102
56,0,2,3,1,2,1,5,3,0,0,1,680.0,6.522092798170152,114.1871,22.26772
57,1,2,0,1,1,0,0,1,1,0,0,329.0,5.796057750765372,114.15398,22.28508
58,1,2,1,1,1,1,0,0,2,0,0,1210.0,7.098375638590786,114.17158,22.29767
59,1,1,1,1,0,1,0,0,2,0,0,968.0,6.875232087276577,114.17171,22.29588
60,0,5,3,2,2,1,5,0,3,0,0,408.0,6.0112671744041615,114.18609,22.28008
61,0,5,3,2,2,1,5,0,3,0,0,359.0,5.883322388488279,114.18473,22.27859
62,0,5,3,2,2,1,5,0,3,0,0,505.0,6.22455842927536,114.18438,22.27993
63,0,0,0,1,1,1,1,0,0,0,0,180.0,5.19295685089021,114.15372,22.28469
64,0,0,0,0,1,0,1,0,0,0,0,180.0,5.19295685089021,114.15166,22.27839
65,0,0,0,1,1,0,1,0,0,0,0,180.0,5.19295685089021,114.19076,22.28339
66,1,5,3,2,0,1,9,0,3,1,0,1011.0,6.918695219020472,114.17636,22.27891
67,1,5,3,2,1,1,4,0,0,1,0,1370.0,7.222566018822171,114.17207,22.31794
68,0,0,1,1,2,1,1,0,2,0,0,700.0,6.551080335043404,114.14988,22.28241
69,0,4,5,1,1,1,8,2,4,2,1,1550.0,7.346010209913293,114.1877,22.38455
70,1,3,2,2,1,1,7,3,5,2,1,905.0,6.807934943699926,114.27094,22.29396
71,1,4,2,1,1,1,2,0,0,0,0,400.0,5.991464547107982,114.1763,22.27788
72,1,4,2,1,0,1,7,0,0,0,0,301.0,5.707110264748875,114.17478,22.27783
73,1,2,2,1,2,1,1,0,0,0,0,500.0,6.214608098422191,114.17808,22.27803
74,1,3,3,2,2,1,7,4,5,3,0,450.0,6.1092475827643655,114.27338,22.29311
75,1,3,3,1,2,1,7,4,4,2,0,700.0,6.551080335043404,114.27223,22.29436
76,1,3,3,1,2,1,7,4,4,2,0,700.0,6.551080335043404,114.27076,22.29595
77,1,4,5,2,0,1,8,2,4,3,1,1459.0,7.285506548522785,114.27091,22.29449
78,1,1,1,2,1,1,0,1,0,0,0,523.0,6.259581464064923,114.18658,22.38055
79,1,5,5,3,2,2,9,0,3,1,5,1200.0,7.090076835776092,114.19254,22.28394
80,1,3,2,1,1,1,0,0,2,1,0,465.0,6.142037405587356,114.17058,22.31716
81,1,3,2,1,1,1,0,0,2,1,0,290.0,5.66988092298052,114.16945,22.31782
82,1,3,3,2,2,1,7,2,4,2,0,1250.0,7.1308988302963465,114.2731,22.29287
83,0,0,0,0,1,0,1,0,0,0,0,250.0,5.521460917862246,114.18248,22.27902
84,1,5,3,1,3,1,8,3,2,0,4,836.0,6.728628613084702,114.19866,22.28922
85,1,3,2,1,1,1,0,0,3,1,0,305.0,5.720311776607412,114.16859,22.31664
86,1,3,2,1,1,1,0,0,1,1,0,393.0,5.973809611869261,114.16892,22.31686
87,1,3,2,1,1,1,0,0,1,1,0,305.0,5.720311776607412,114.16884,22.3174
88,1,3,2,1,1,1,0,0,2,1,0,373.0,5.921578419643816,114.17059,22.31574
89,0,5,5,2,1,1,7,0,0,0,1,428.0,6.059123195581797,114.142,22.28602
90,0,1,1,1,1,1,3,0,0,0,0,2272.0,7.7284157798410416,114.17188,22.31302
91,1,5,5,3,2,2,11,6,1,2,1,380.0,5.940171252720432,114.27281,22.29417
92,1,5,5,3,1,2,9,4,5,2,1,561.0,6.329720905522696,114.27189,22.29356
93,0,0,0,0,1,1,1,0,0,0,0,180.0,5.19295685089021,114.15046,22.28041
94,1,4,0,1,2,1,6,0,0,0,0,800.0,6.684611727667927,114.17873,22.27646
95,0,0,0,1,1,1,1,0,0,0,0,206.0,5.327876168789581,114.17227,22.30961
96,0,4,5,2,1,1,8,2,6,1,0,400.0,5.991464547107982,114.18673,22.38395
97,0,3,5,2,2,1,8,2,6,1,0,775.0,6.652863029353347,114.18642,22.38396
98,0,4,5,1,1,0,8,2,6,1,0,481.0,6.175867270105761,114.18784,22.38177
99,0,0,0,1,1,1,1,0,0,0,0,180.0,5.19295685089021,114.1821,22.2767
100,0,0,0,1,1,1,1,0,0,0,0,217.0,5.37989735354046,114.19902,22.2901
101,0,0,0,0,1,1,0,0,0,0,0,217.0,5.37989735354046,114.1692,22.31305
102,0,0,0,0,1,1,1,0,0,0,0,180.0,5.19295685089021,114.15085,22.28051
103,1,4,5,1,2,1,5,1,2,0,1,1055.0,6.961296045910167,114.16951,22.31898
104,0,0,0,1,1,1,0,0,0,0,0,180.0,5.19295685089021,114.15076,22.2826
105,1,5,5,2,2,1,6,0,5,1,0,400.0,5.991464547107982,114.1665878,22.30679131
106,1,3,2,1,1,1,0,0,3,1,0,510.0,6.234410725718371,114.16852,22.31747
107,1,5,5,3,1,2,11,4,4,1,1,392.0,5.971261839790462,114.2728257,22.29407178
