id,listing_url_num,last_scraped,host_since,host_duration,host_response_rate,is_response_rate_missing,host_acceptance_rate,is_acceptance_rate_missing,host_is_superhost,host_listings_count,log_host_listings_count,latitude,longitude,accommodates,log_accommodates,bedrooms,log_bedrooms,bathrooms_count,is_bath_shared,amenities,price,log_price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,neigh_Yau Tsim Mong,neigh_Islands,neigh_Central & Western,neigh_Sai Kung,neigh_Wan Chai,neigh_Sham Shui Po,neigh_Eastern,neigh_Kowloon City,neigh_Yuen Long,neigh_Tai Po,neigh_Sha Tin,neigh_Southern,neigh_Wong Tai Sin,neigh_Kwun Tong,neigh_North,neigh_Tuen Mun,neigh_Kwai Tsing,neigh_Tsuen Wan,property_type_Entire rental unit,property_type_Private room in condo,property_type_Entire serviced apartment,property_type_Entire condo,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Room in hotel,property_type_Room in aparthotel,property_type_Shared room in hostel,property_type_Shared room in rental unit,property_type_Shared room,property_type_Room in boutique hotel,property_type_Entire loft,property_type_Entire villa,property_type_Private room in guest suite,property_type_Private room in townhouse,property_type_Entire guest suite,property_type_Private room in serviced apartment,property_type_Entire home,property_type_Entire guesthouse,property_type_Houseboat,property_type_Entire bungalow,property_type_Shared room in serviced apartment,property_type_Entire cottage,property_type_Private room in bungalow,property_type_Boat,property_type_Shared room in guesthouse,property_type_Tiny home,property_type_Private room in kezhan,property_type_Private room in bed and breakfast,property_type_Room in bed and breakfast,property_type_Private room,property_type_Private room in nature lodge,property_type_Private room in boat,property_type_Shared room in kezhan,property_type_Private room in minsu,property_type_Room in hostel,property_type_Shared room in condo,property_type_Private room in villa,property_type_Entire vacation home,property_type_Entire townhouse,property_type_Private room in cottage,property_type_Private room in houseboat,property_type_Shared room in guest suite,property_type_Hut,property_type_Entire cabin,property_type_Entire place,property_type_Private room in ryokan,property_type_Shared room in townhouse,property_type_Shared room in hotel,property_type_Private room in tiny home,property_type_Private room in riad,property_type_Private room in farm stay,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_Hotel room
103760,103760,2025-06-21,N/A,N/A,N/A,0,N/A,0,0,N/A,N/A,22.28418,114.15431,6,1.791759469,2,0.693147181,1,0,"[""Cooking basics"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Iron"", ""Crib"", ""Lockbox"", ""AC - split type ductless system"", ""Essentials"", ""Heating"", ""Children\u2019s dinnerware"", ""55 inch HDTV with standard cable"", ""Window AC unit""]",1319.00 ,7.185,29,59,89,364,303,4.47,4.4,4.48,4.49,4.63,4.72,4.41,0,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
248140,248140,2025-06-21,2011-10-17,4996,1,1,0.82,1,1,1,0,22.28228,114.14923,2,0.693147181,1,0,1,0,"[""Cooking basics"", ""Extra pillows and blankets"", ""Toaster"", ""Hair dryer"", ""Ceiling fan"", ""Cleaning available during stay"", ""Cleaning products"", ""Wifi"", ""Shampoo"", ""50 inch HDTV with DVD player"", ""Conditioner"", ""Microwave"", ""Hot water"", ""Oven"", ""Room-darkening shades"", ""Refrigerator"", ""Smoke alarm"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""Iron"", ""Clothing storage: closet"", ""Shower gel"", ""AC - split type ductless system"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Bed linens"", ""Body soap"", ""Hangers"", ""Wine glasses"", ""Coffee maker"", ""Hot water kettle"", ""Gas stove"", ""Carbon monoxide alarm"", ""Laundromat nearby""]",800.00 ,6.685,0,0,23,24,220,4.9,4.91,4.92,4.94,4.97,4.75,4.79,0,1.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
306515,306515,2025-06-21,2012-01-07,4914,N/A,0,N/A,0,0,2,0.693147181,22.28376,114.15313,2,0.693147181,1,0,N/A,N/A,"[""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Elevator"", ""Kitchen"", ""Air conditioning""]",1127.00 ,7.027,29,59,89,364,19,4.88,5,4.95,4.72,4.84,4.89,4.79,0,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
378047,378047,2025-06-21,2012-02-24,4866,1,1,0,1,0,1,0,22.26674,113.99269,4,1.386294361,1,0,1,0,"[""Iron"", ""Smoking allowed"", ""Washer"", ""Hangers"", ""Children\u2019s books and toys"", ""Pets allowed"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Long term stays allowed"", ""Dryer"", ""Wifi"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Kitchen"", ""Shampoo"", ""Air conditioning"", ""Host greets you""]",587.00 ,6.375,26,56,86,98,80,4.82,4.77,4.83,4.91,4.94,4.51,4.62,0,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
505456,505456,2025-06-21,2011-09-21,5022,1,1,0.83,1,1,1,0,22.28543,114.1489,4,1.386294361,1,0,1,0,"[""Cooking basics"", ""Extra pillows and blankets"", ""Toaster"", ""Drying rack for clothing"", ""Hair dryer"", ""Clothing storage: closet and dresser"", ""Cleaning products"", ""Wifi"", ""HDTV with standard cable, Netflix, premium cable"", ""Shampoo"", ""Paid parking off premises"", ""Exercise equipment: yoga mat"", ""Microwave"", ""Hot water"", ""Stove"", ""Room-darkening shades"", ""Dove conditioner"", ""Ocean view"", ""Refrigerator"", ""Dining table"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Elevator"", ""Pets allowed"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Shower gel"", ""Books and reading material"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Dove body soap"", ""Air conditioning"", ""Ethernet connection"", ""Free street parking"", ""Hangers"", ""Wine glasses"", ""Bay view"", ""Coffee maker"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Host greets you""]",1053.00 ,6.959,10,40,70,323,303,4.71,4.75,4.81,4.89,4.84,4.8,4.6,0,1.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562659,562659,2025-06-21,2012-06-28,4741,0.92,1,0.68,1,0,10,2.302585093,22.28113,114.18416,2,0.693147181,1,0,1,0,"[""TV"", ""Washer"", ""Wifi"", ""Elevator"", ""Kitchen"", ""Air conditioning""]",648.00 ,6.474,22,41,41,244,8,5,4.88,5,5,4.88,5,4.88,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562775,562775,2025-06-22,2012-06-28,4742,1,1,1,1,0,27,3.295836866,22.27825,114.17699,8,2.079441542,1,0,1,0,"[""Cooking basics"", ""Board games"", ""Washer"", ""Extra pillows and blankets"", ""Self check-in"", ""Hair dryer"", ""Kitchenette"", ""Cleaning products"", ""Wifi"", ""Building staff"", ""Waterfront"", ""Microwave"", ""Hot water"", ""Room-darkening shades"", ""Housekeeping available from 8:00\u202fAM to 11:00\u202fPM, every day"", ""Exterior security cameras on property"", ""Refrigerator"", ""Dining table"", ""Smoke alarm"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dishes and silverware"", ""Elevator"", ""Piano"", ""Coffee maker: Nespresso"", ""Iron"", ""Safe"", ""First aid kit"", ""Coffee"", ""Books and reading material"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Bed linens"", ""Movie theater"", ""Game console"", ""Hangers"", ""Wine glasses"", ""Dryer"", ""Hot water kettle"", ""Window AC unit"", ""TEAC sound system with aux"", ""Window guards"", ""Laundromat nearby""]",186.00 ,5.226,30,60,90,365,170,4.52,4.61,4.52,4.83,4.84,4.82,4.54,1,1.77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
562822,562822,2025-06-21,2012-06-28,4741,0.92,1,0.68,1,0,10,2.302585093,22.27917,114.18577,2,0.693147181,1,0,1,0,"[""TV"", ""Wifi"", ""Elevator"", ""Kitchen"", ""Air conditioning""]",500.00 ,6.215,0,0,0,168,11,5,4.8,4.9,4.6,4.9,4.9,5,0,0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562840,562840,2025-06-22,2012-06-28,4742,1,1,1,1,0,27,3.295836866,22.2782412,114.1769881,8,2.079441542,1,0,1,0,"[""Cooking basics"", ""Board games"", ""Washer"", ""Extra pillows and blankets"", ""Self check-in"", ""Hair dryer"", ""Kitchenette"", ""Cleaning products"", ""Wifi"", ""Building staff"", ""Waterfront"", ""Microwave"", ""Hot water"", ""Room-darkening shades"", ""Housekeeping available from 8:00\u202fAM to 11:00\u202fPM, every day"", ""Exterior security cameras on property"", ""Refrigerator"", ""Dining table"", ""Smoke alarm"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dishes and silverware"", ""Elevator"", ""Piano"", ""Game console: Xbox One"", ""Iron"", ""Safe"", ""First aid kit"", ""Coffee"", ""Books and reading material"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Bed linens"", ""Movie theater"", ""Air conditioning"", ""Hangers"", ""Wine glasses"", ""Coffee maker"", ""Dryer"", ""Hot water kettle"", ""Window guards"", ""Laundromat nearby"", ""TEAC sound system""]",186.00 ,5.226,30,60,90,365,25,4.52,4.66,4.55,4.93,4.9,4.97,4.38,1,0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
578652,578652,2025-06-22,2012-07-06,4734,1,1,1,1,0,3,1.098612289,22.25382,113.86251,5,1.609437912,1,0,1,0,"[""TV"", ""Hangers"", ""Hot water"", ""Essentials"", ""Fire extinguisher"", ""Hair dryer"", ""Heating"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Wifi"", ""Backyard"", ""Bed linens"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Shampoo"", ""Air conditioning""]",2058.00 ,7.629,28,58,62,64,12,4.8,4.93,4.87,4.87,4.87,4.8,4.47,0,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
